country,state,city
MahaKisan,Om Gayatri,Karad Sonewadi
MahaKisan,Godakathagro,Manikpunj
MahaKisan,Godakathagro,Jaydare
MahaKisan,Saptapadi,Mohlangi
MahaKisan,Fresh Farm Bag,FFB
MahaKisan,Fresh Farm Bag,JD Pawar
MahaKisan,Fresh Farm Bag,Pawar
MahaKisan,Fresh Farm Bag,SB Borse
MahaKisan,Fresh Farm Bag,RP Pawar
MahaKisan,Fresh Farm Bag,Borse
MahaKisan,Sai Leela,Sakhla
MahaKisan,Godaparisar,SB - Godown
MahaKisan,Godaparisar,BD - Godown
MahaKisan,Godaparisar,KB - Godown
MahaKisan,Godaparisar,GS - Godown
MahaKisan,Godaparisar,RD - Godown
MahaKisan,Godaparisar,DL - Godown
MahaKisan,Gopalratna,Nashik Road A1
MahaKisan,Gopalratna,Nashik Road A2
MahaKisan,Gopalratna,Kersane (B1)
MahaKisan,Gopalratna,Agrawal (C1)
MahaKisan,Krushi kanya agro,DK Godown
MahaKisan,Krushi kanya agro,Sai Godown
MahaKisan,Krushi kanya agro,Yoshodai Godown
MahaKisan,Krushi kanya agro,Shree Godown
MahaKisan,Krushi kanya agro,Devraj Godown
MahaKisan,Krushi kanya agro,Navnath Godown
MahaKisan,Krushi kanya agro,Sunny Godown
MahaKisan,Krushi kanya agro,Mauli Godown
MahaKisan,Krushi kanya agro,Shivba Godown
MahaKisan,Krushi kanya agro,Maxx Godown
MahaKisan,Dev Mamledar,LMN
MahaKisan,Dev Mamledar,Ganesh
MahaKisan,Dev Mamledar,R K
MahaKisan,Yuvan Grower Tech,YUVANGT-1 (Bhaskarlili 1)
MahaKisan,Yuvan Grower Tech,YUVANGT-2 (Sachin Patil Godown)
MahaKisan,Yuvan Grower Tech,YUVANGT-3 (Bajrang Treders 1)
MahaKisan,Yuvan Grower Tech,YUVANGT-4 (Prashant Patil Godown)
MahaKisan,Yuvan Grower Tech,YUVANGT-5 (Bajrang Treders 2)
MahaKisan,Yuvan Grower Tech,YUVANGT-6 (Bajrang Treders 3)
MahaKisan,Yuvan Grower Tech,YUVANGT-7 (Vyavahare Godown 1)
MahaKisan,Yuvan Grower Tech,YUVANGT-8 (Vyavahare Godown 1)
MahaKisan,Yuvan Grower Tech,YUVANGT-9 (Vyavahare Godown 1)
MahaKisan,Yuvan Grower Tech,YUVANGT-10 (Bhaskarlili 2)
MahaKisan,Yuvan Grower Tech,YUVANGT-11 (Pooja Godown 1)
MahaKisan,Yuvan Grower Tech,YUVANGT-12 (Bajrang Treders 4)
MahaKisan,Yuvan Grower Tech,YUVANGT-13 (Bajrang Treders 5)
MahaKisan,Yuvan Grower Tech,YUVANGT-14 (Pooja Godown 2)
MahaKisan,Yuvan Grower Tech,YUVANGT-15 (Pooja Godown 3)
MahaKisan,Yuvan Grower Tech,YUVANGT-16 (Pooja Godown 4)
MahaKisan,Yuvan Grower Tech,YUVANGT-17 (Pooja Godown 5)
MahaKisan,Yuvan Grower Tech,YUVANGT-18 (KGN 1)
MahaKisan,Yuvan Grower Tech,YUVANGT-19 (KGN 2)
MahaKisan,Yuvan Grower Tech,YUVANGT-20 (KGN 3)
MahaKisan,Yuvan Grower Tech,YUVANGT-21 (KGN 4)
MahaKisan,Yuvan Grower Tech,YUVANGT-22 (KGN 5)
MahaKisan,Yuvan Grower Tech,YUVANGT-23 (KGN 6)
MahaKisan,Yuvan Grower Tech,YUVANGT-24 (KGN 7)
MahaKisan,Yuvan Grower Tech,YUVANGT-16 A (Pooja Godown 4)
MahaKisan,Yuvan Grower Tech,YUVANGT-25 (KGN 8)
MahaKisan,Yuvan Grower Tech,YUVANGT-26 (KGN 8)
MahaKisan,Yuvan Grower Tech,YUVANGT-27 (Pooja Godown 6)
MahaKisan,Yuvan Grower Tech,YUVANGT-28 (KGN 10)
MahaKisan,Bhulaxmi,Pawar Godown
MahaKisan,Bhulaxmi,Kasliwal Godown
MahaKisan,Greatwork,Bagwadi Godown 1
MahaKisan,Greatwork,Bagwadi Godown 2
MahaKisan,Yuvan,Bafna Godown
MahaKisan,Yuvan,Thakkar Godown
MahaKisan,Yuvan,Bandari Godown
MahaKisan,Sahyadri Adivasi,Sai Godown (Nandgaon)
MahaKisan,Sahyadri Adivasi,Aggrarwal Godown (Nandgaon)
MahaKisan,Sahyadri Adivasi,Bandu Patil Godown (Jategaon)
MahaKisan,Gau Nandani,Agrawal Godown
MahaKisan,Gram Uday,Sai Godown Yeola
MahaKisan,Navnirmit Shetkari,Chandak Godown
MahaKisan,Karad Agro,BTC Godown
MahaKisan,Karad Agro,KGN Godown
MahaKisan,Five Star Green,Sundar Lalaman Tiwari A1
MahaKisan,Five Star Green,Dharma Kalu Shivle B1
MahaKisan,Five Star Green,Dharma Kalu Shivle B2
MahaKisan,Five Star Green,Ramesh Kashiram Shivle C1
MahaKisan,Five Star Green,Ramesh Kashiram Shivle C2
MahaKisan,Five Star Green,Nilesh Darma Sonawane D1
MahaKisan,Five Star Green,Asif Salim Patel A3
MahaKisan,Five Star Green,Keshar Hiralal Dube E2
